,RECORD_TYPE,DATA_SOURCE,RECORD_ID,Loan_Range,BUSINESS_NAME_ORG,BUSINESS_ADDR_LINE1,BUSINESS_ADDR_CITY,BUSINESS_ADDR_STATE,BUSINESS_ADDR_POSTAL_CODE,NAICS_Code,Business_Type,OwnedByRaceEthnicity,OwnedBy,OwnedByVeteran,NonProfit,JobsReported,DateApproved,Lender,CD
2655,ORGANIZATION,PPP_LOANS,13119,"e $150,000-350,000",MULTIPURE INTERNATIONAL,7251 Cathedral Rock Dr.,LAS VEGAS,NV,89128,454390.0,Corporation,Unanswered,Male Owned,Unanswered,,33.0,04/16/2020,"Washington Federal Bank, National Association",NV-01
1104,ORGANIZATION,PPP_LOANS,9955,"d $350,000-1 million","NIGRO CONSTRUCTION, INC",9115 RUSSELL RD SUITE 210,LAS VEGAS,NV,89148,236220.0,Corporation,Unanswered,Male Owned,Non-Veteran,,26.0,04/14/2020,Glacier Bank,NV-03
528,ORGANIZATION,PPP_LOANS,8106,"d $350,000-1 million",ARELNI LLC,101 CONVENTION CENTER DR #1003,LAS VEGAS,NV,89109,453220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,97.0,04/15/2020,"Zions Bank, A Division of",NV-01
2443,ORGANIZATION,PPP_LOANS,12749,"e $150,000-350,000",LAACON INC,4625 W NEVSO DR SUITE 2,LAS VEGAS,NV,89103,561510.0,Corporation,Unanswered,Unanswered,Unanswered,,0.0,07/23/2020,"Wells Fargo Bank, National Association",NV-01
789,ORGANIZATION,PPP_LOANS,8735,"d $350,000-1 million","FOURSQUARE ROOFS & WALLS, INC.",4250 PRODUCTION CT,LAS VEGAS,NV,89115,332322.0,Corporation,Unanswered,Unanswered,Unanswered,,29.0,04/14/2020,Valley Bank of Nevada,NV-01
1749,ORGANIZATION,PPP_LOANS,11355,"e $150,000-350,000","BRANDED ENTERTAINMENT, INC.",552 E. Charleston Blvd.,Las Vegas,NV,89104,512110.0,Corporation,White,Unanswered,Unanswered,,12.0,06/30/2020,CDC Small Business Finance Corporation,NV-01
461,ORGANIZATION,PPP_LOANS,7881,"d $350,000-1 million","4R4 SONS, LLC",11350 SOUTHERN HIGHLANDS PKWY,LAS VEGAS,NV,89141,624410.0,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,165.0,04/10/2020,Meadows Bank,NV-03
1894,ORGANIZATION,PPP_LOANS,11589,"e $150,000-350,000",CREATURE COMFORTS LLC,5741 SKY POINTE DRIVE,LAS VEGAS,NV,89131,541940.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,36.0,04/15/2020,Stearns Bank National Association,NV-04
2841,ORGANIZATION,PPP_LOANS,15225,"e $150,000-350,000",PJ RESTAURANT GROUP INC.,4215 SPRING MOUNTAIN RD STE B107,LAS VEGAS,NV,89102,722511.0,Corporation,Unanswered,Unanswered,Unanswered,,40.0,05/03/2020,"Bank of America, National Association",NV-01
3275,ORGANIZATION,PPP_LOANS,16205,"e $150,000-350,000",TJC LANDSCAPE COMPANY L.L.C,3778 EDWARD AVE,LAS VEGAS,NV,89108,561730.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28.0,06/26/2020,"JPMorgan Chase Bank, National Association",NV-01
2987,ORGANIZATION,PPP_LOANS,15601,"e $150,000-350,000","ROSSO RACING, LLC",7925 W. ARBY AVE SUITE 100,LAS VEGAS,NV,89113,711219.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/16/2020,Pacific Western Bank,NV-03
1164,ORGANIZATION,PPP_LOANS,10052,"d $350,000-1 million","PLUS STUDIOS, LLC","3917 E. LONE MOUNTAIN ROAD, SUITE CC",NORTH LAS VEGAS,NV,89081,238390.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25.0,04/27/2020,Western Alliance Bank,NV-04
2529,ORGANIZATION,PPP_LOANS,12928,"e $150,000-350,000","LOMBARDI'S DESERT PASSAGE, INC.",3363 Las Vegas Blvd S Suite 181,LAS VEGAS,NV,89109,722511.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,28.0,04/08/2020,"Guaranty Bank & Trust, National Association",NV-01
952,ORGANIZATION,PPP_LOANS,9404,"d $350,000-1 million","KEYSTONE CONTRACTORS, INC.",4348 E ALEXANDER ROAD,LAS VEGAS,NV,89115,238140.0,Corporation,Unanswered,Male Owned,Non-Veteran,,39.0,04/27/2020,Western Alliance Bank,NV-01
299,ORGANIZATION,PPP_LOANS,7713,c $1-2 million,JMAC PLUMBING & AIR CONDITIONING LLC,4225 W POST RD,LAS VEGAS,NV,89118,238220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,92.0,04/07/2020,Western Alliance Bank,NV-03
2550,ORGANIZATION,PPP_LOANS,12965,"e $150,000-350,000",MAC SERVICES INC,6160 ANNIE OAKLEY DRIVE,LAS VEGAS,NV,89120,238160.0,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-03
52,ORGANIZATION,PPP_LOANS,7187,"e $150,000-350,000","BILLINGSLEY ENGINEERING, P.C.",901 6TH ST,LAS VEGAS,NM,87701,541330.0,Corporation,White,Male Owned,Non-Veteran,,14.0,04/10/2020,Community 1st Bank Las Vegas,NM-03
2029,ORGANIZATION,PPP_LOANS,11909,"e $150,000-350,000","ELLSWORTH & STOUT, LLC","7881 W Charleston Blvd, Ste 155",LAS VEGAS,NV,89117,541211.0,Corporation,Unanswered,Unanswered,Unanswered,,22.0,04/05/2020,Cache Valley Bank,NV-03
2516,ORGANIZATION,PPP_LOANS,12914,"e $150,000-350,000",LITTLE LEMONS THERAPY LLC,5755 S RAINBOW BLVD STE 102,LAS VEGAS,NV,89118,621498.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
1720,ORGANIZATION,PPP_LOANS,11296,"e $150,000-350,000",BLH LLC,334 N HOLLYWOOD BLVD,LAS VEGAS,NV,89110,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,112.0,05/03/2020,"Bank of America, National Association",NV-01
679,ORGANIZATION,PPP_LOANS,8307,"d $350,000-1 million",DASHAT ENTERPRISES,3750 W Quail Ave,LAS VEGAS,NV,89118,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40.0,04/08/2020,"Zions Bank, A Division of",NV-03
1370,ORGANIZATION,PPP_LOANS,10457,"d $350,000-1 million",THERAPY MANAGEMENT GROUP LLC,8020 W SAHARA AVE STE 160,LAS VEGAS,NV,89117,621340.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,67.0,04/30/2020,"Bank of America, National Association",NV-03
2426,ORGANIZATION,PPP_LOANS,12724,"e $150,000-350,000","KOR BUILDING GROUP, LLC",2670 CHANDLER AVE SUITE #10,LAS VEGAS,NV,89120,238390.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35.0,04/08/2020,Meadows Bank,NV-03
3114,ORGANIZATION,PPP_LOANS,15783,"e $150,000-350,000","SOLAR CONTRACT CARPET OF LAS VEGAS, INC",5375 Procyon Street Suite 108,Las Vegas,NV,89118,238330.0,Corporation,Unanswered,Male Owned,Non-Veteran,,28.0,04/15/2020,Third Coast Bank SSB,NV-03
511,ORGANIZATION,PPP_LOANS,8086,"d $350,000-1 million",ALLPRO SERVICES LLC,3674 RANCHO DR N,LAS VEGAS,NV,89130,238320.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22.0,06/11/2020,"U.S. Bank, National Association",NV-04
1467,ORGANIZATION,PPP_LOANS,10639,"d $350,000-1 million",YSB NIGHTCLUB LLC,6663 SCHUSTER ST,LAS VEGAS,NV,89118,722410.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,85.0,05/03/2020,"Bank of America, National Association",NV-03
555,ORGANIZATION,PPP_LOANS,8137,"d $350,000-1 million",BERTOLDO BAKER & CARTER PLLC,7408 W SAHARA AVE,LAS VEGAS,NV,89117,541110.0,Partnership,Unanswered,Unanswered,Unanswered,,35.0,04/09/2020,Cache Valley Bank,NV-03
7,ORGANIZATION,PPP_LOANS,7116,"d $350,000-1 million","VEGAS BUILDS, INC.",15 Mitchell Way,Danville,CA,94506,999990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18.0,05/01/2020,"JPMorgan Chase Bank, National Association",CA-11
533,ORGANIZATION,PPP_LOANS,8111,"d $350,000-1 million","AVANTI GLASS AND MIRROR, LLC",5380 PROCYON ST,LAS VEGAS,NV,89118,238150.0,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,27.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
670,ORGANIZATION,PPP_LOANS,8271,"d $350,000-1 million","CUSTOM SECURITY GUARD AND PATROL, LLC",5392 EASTERN AVE S,LAS VEGAS,NV,89119,561612.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,175.0,05/20/2020,"U.S. Bank, National Association",NV-01
152,ORGANIZATION,PPP_LOANS,7472,b $2-5 million,NEVADA BEVERAGE CO.,3940 TROPICANA AVE,LAS VEGAS,NV,89103,424810.0,Corporation,Unanswered,Unanswered,Unanswered,,250.0,04/04/2020,City National Bank,NV-01
676,ORGANIZATION,PPP_LOANS,8279,"d $350,000-1 million",DANIEL L BURKHEAD MD LTD,9920 W Cheyenne Ave Ste 110,Las Vegas,NV,89129,621111.0,Corporation,Unanswered,Unanswered,Unanswered,,22.0,05/03/2020,"Bank of America, National Association",NV-04
2222,ORGANIZATION,PPP_LOANS,12274,"e $150,000-350,000",HANS-JORG W ROSLER MD LTD,90 HAWK RIDGE DR,LAS VEGAS,NV,89135,621111.0,Corporation,Unanswered,Unanswered,Unanswered,,19.0,04/07/2020,Meadows Bank,NV-03
1498,ORGANIZATION,PPP_LOANS,10690,"e $150,000-350,000",A & B ENVIRONMENTAL LLC,2858 Marco Street,Las Vegas,NV,89115,562910.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,16.0,04/27/2020,"OneWest Bank, A Division of",NV-01
1080,ORGANIZATION,PPP_LOANS,9756,"d $350,000-1 million","NDX, LLC",2667 W CHEYENNE AVE,NORTH LAS VEGAS,NV,89032,236115.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,49.0,04/14/2020,Valley Bank of Nevada,NV-04
239,ORGANIZATION,PPP_LOANS,7651,c $1-2 million,CLASSIC DRYWALL & PAINT LLC,3942 OCTAGON RD,NORTH LAS VEGAS,NV,89030,238310.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,215.0,05/20/2020,"Bank of America, National Association",NV-01
1844,ORGANIZATION,PPP_LOANS,11495,"e $150,000-350,000",CIMARRON KIDS LLC,2830 South Cimarron Road,LAS VEGAS,NV,89117,624410.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,36.0,04/15/2020,"Zions Bank, A Division of",NV-03
1621,ORGANIZATION,PPP_LOANS,10986,"e $150,000-350,000",ARCHON CORPORATION,6611 South Las Vegas Boulevard Suite A160,LAS VEGAS,NV,89119,523991.0,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/07/2020,"Zions Bank, A Division of",NV-01
2179,ORGANIZATION,PPP_LOANS,12171,"e $150,000-350,000","GOLDSMITH & GUYMON, A PROFESSIONAL CORPORATION",2055 VILLAGE CENTER CIRCLE,LAS VEGAS,NV,89134,541110.0,Corporation,Unanswered,Female Owned,Non-Veteran,,15.0,04/28/2020,Western Alliance Bank,NV-04
233,ORGANIZATION,PPP_LOANS,7644,c $1-2 million,CEDCO COMMERCIAL LLC,6720 W. SERENE AVE,LAS VEGAS,NV,89139,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24.0,04/07/2020,Meadows Bank,NV-03
1397,ORGANIZATION,PPP_LOANS,10491,"d $350,000-1 million","TRI-LIN HOLDINGS, LLC",1930 VILLAGE CENTER CIR #3-714,LAS VEGAS,NV,89134,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,04/03/2020,First Choice Bank,NV-04
1261,ORGANIZATION,PPP_LOANS,10280,"d $350,000-1 million","SHOOK AND STONE, CHTD",710 S 4TH ST,LAS VEGAS,NV,89101,541110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,47.0,04/11/2020,Western Alliance Bank,NV-01
238,ORGANIZATION,PPP_LOANS,7650,c $1-2 million,CHATEAU NIGHTCLUB LLC,10845 Griffith Peak Drive suite 520,LAS VEGAS,NV,89107,722410.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,244.0,04/15/2020,Western Alliance Bank,NV-01
1754,ORGANIZATION,PPP_LOANS,11362,"e $150,000-350,000","BREEN BUILDERS, LLC","10120 W Flamingo Rd., Ste 4570",LAS VEGAS,NV,89147,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,NV-03
3178,ORGANIZATION,PPP_LOANS,15901,"e $150,000-350,000","SUGAR FACTORY, LLC",9179 W Flamingo Rd Ste 110,Las Vegas,NV,89147,445292.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
51,ORGANIZATION,PPP_LOANS,7186,"e $150,000-350,000","ARIA, INC.",1360 VEGAS VERDES STE B,SANTA FE,NM,87507,238220.0,Corporation,Unanswered,Male Owned,Non-Veteran,,16.0,05/01/2020,"Bank of America, National Association",NM-03
1962,ORGANIZATION,PPP_LOANS,11807,"e $150,000-350,000",DISCOUNT RETAIL STORE SERVICES CO LLC,4505 WEST HACIENDA AVE SUITE L-1,LAS VEGAS,NV,89118,453998.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-03
2195,ORGANIZATION,PPP_LOANS,12190,"e $150,000-350,000",GREEN CLEAN COMMERICAL CLEANING SERVICES LLC,6625 S. VALLEY VIEW BLVD Suite 228,LAS VEGAS,NV,89118,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,69.0,04/13/2020,Bank of George,NV-03
3448,ORGANIZATION,PPP_LOANS,16631,"e $150,000-350,000","XR SERVICES, LLC",7000 Las Vegas Blvd N,LAS VEGAS,NV,89115,711320.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22.0,06/24/2020,"JPMorgan Chase Bank, National Association",NV-01
1029,ORGANIZATION,PPP_LOANS,9551,"d $350,000-1 million","MARTIN, MD, MAVROIDIS, MD, DHUDSHIA, MD, & FEIKES, MD, CARDI","5320 S Rainbow Blvd., Suite 282",LAS VEGAS,NV,89118,621111.0,Corporation,Unanswered,Unanswered,Unanswered,,33.0,04/09/2020,"Zions Bank, A Division of",NV-03
1023,ORGANIZATION,PPP_LOANS,9545,"d $350,000-1 million",MAILE INC,5031 Sobb Ave,LAS VEGAS,NV,89118,238110.0,Corporation,Unanswered,Male Owned,Non-Veteran,,49.0,04/27/2020,GenuBank,NV-03
1298,ORGANIZATION,PPP_LOANS,10365,"d $350,000-1 million",SOUTHWIND DG LLC,123 W COLORADO AVE,LAS VEGAS,NV,89102,424420.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,99.0,04/27/2020,Umpqua Bank,NV-01
680,ORGANIZATION,PPP_LOANS,8309,"d $350,000-1 million",DATA MOMMA LLC,"750 E. Pilot Rd.,  Ste A",LAS VEGAS,NV,89119,561990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,34.0,04/12/2020,Idaho First Bank,NV-01
2749,ORGANIZATION,PPP_LOANS,13440,"e $150,000-350,000",OGDEN CONSTRUCTION SERVICES L.L.C.,9368 JEREMY BLAINE CT,LAS VEGAS,NV,89139,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
2664,ORGANIZATION,PPP_LOANS,13129,"e $150,000-350,000","NADHC AT EASTERN, INC.",8695 S EASTERN AVE,LAS VEGAS,NV,89123,624120.0,Corporation,Asian,Male Owned,Non-Veteran,,32.0,04/11/2020,Western Alliance Bank,NV-03
1163,ORGANIZATION,PPP_LOANS,10051,"d $350,000-1 million","PLAYLV GAMING OPERATIONS, LLC",1 S. MAIN STREET,LAS VEGAS,NV,89101,541611.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30.0,04/28/2020,Western Alliance Bank,NV-01
3103,ORGANIZATION,PPP_LOANS,15762,"e $150,000-350,000",SMART CLEANING SOLUTIONS LLC,3261 BUILDERS AVE,LAS VEGAS,NV,89101,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50.0,04/30/2020,"Bank of America, National Association",NV-01
3039,ORGANIZATION,PPP_LOANS,15663,"e $150,000-350,000","SCDC, LLC",7151 Cascade Valley Ct. #101,Las Vegas,NV,89128,624190.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55.0,05/03/2020,"Zions Bank, A Division of",NV-01
1159,ORGANIZATION,PPP_LOANS,10047,"d $350,000-1 million","PIVANT, LLC",8906 Spanish Ridge Ave #202,LAS VEGAS,NV,89148,541611.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,41.0,04/09/2020,Town & Country Bank,NV-03
879,ORGANIZATION,PPP_LOANS,8940,"d $350,000-1 million","I.T.S. TRUCKING AND WAREHOUSING, INC.",9575 REDWOOD ST,LAS VEGAS,NV,89139,485999.0,Subchapter S Corporation,White,Female Owned,Non-Veteran,,54.0,04/05/2020,Meadows Bank,NV-03
2770,ORGANIZATION,PPP_LOANS,13480,"e $150,000-350,000","ORIGIN BIOLOGICS, LLC",6635 South Eastern Avenue Suite 100,LAS VEGAS,NV,89119,423450.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12.0,04/28/2020,Western Alliance Bank,NV-01
3138,ORGANIZATION,PPP_LOANS,15838,"e $150,000-350,000",SPIEGELWORLD BUZHUKOV LLC,4625 S. Polaris Ave Suite 112,LAS VEGAS,NV,89103,711190.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32.0,08/04/2020,"JPMorgan Chase Bank, National Association",NV-01
965,ORGANIZATION,PPP_LOANS,9432,"d $350,000-1 million",KOPOLOW & GIRISGEN PROFESSIONAL CORP,4045 SPENCER ST,LAS VEGAS,NV,89119,621320.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,70.0,04/27/2020,Stearns Bank National Association,NV-01
1511,ORGANIZATION,PPP_LOANS,10726,"e $150,000-350,000",A4 BUILDERS LLC,9729 Glistening Brook,LAS VEGAS,NV,89149,236115.0,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/13/2020,Mountain America FCU,NV-04
2585,ORGANIZATION,PPP_LOANS,13000,"e $150,000-350,000",MAX ART PRODUCTIONS,3934 Silvestri Ln,LAS VEGAS,NV,89120,323113.0,Subchapter S Corporation,White,Male Owned,Non-Veteran,,27.0,04/14/2020,Bank of the West,NV-03
1995,ORGANIZATION,PPP_LOANS,11859,"e $150,000-350,000",EAST-WEST BRIDGE INC,6770 Paradise Rd,Las Vegas,NV,89119,561110.0,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/27/2020,American Express National Bank,NV-01
2057,ORGANIZATION,PPP_LOANS,11938,"e $150,000-350,000",EVANS FEARS &AMP; SCHUTTERT LLP,2300 WEST SAHARA AVE. SUITE 950,LAS VEGAS,NV,89102,,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
183,ORGANIZATION,PPP_LOANS,7522,b $2-5 million,THE SIEGEL GROUP NEVADA INC,3790 Paradise Rd,Las Vegas,NV,89169,713990.0,Corporation,Unanswered,Unanswered,Unanswered,,,08/04/2020,Greater Nevada CU,NV-01
1378,ORGANIZATION,PPP_LOANS,10468,"d $350,000-1 million","TINGEY LAW FIRM, LLP",2001 W. Charleston Blvd.,Las Vegas,NV,89102,541110.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,42.0,05/03/2020,"Zions Bank, A Division of",NV-01
321,ORGANIZATION,PPP_LOANS,7737,c $1-2 million,"M CON, INC.",8550 W CHARLESTON BLVD STE 102-404,LAS VEGAS,NV,89117,238910.0,Corporation,Hispanic,Male Owned,Non-Veteran,,99.0,04/10/2020,City National Bank,NV-03
1839,ORGANIZATION,PPP_LOANS,11489,"e $150,000-350,000",CHRISTOPHER ERIC YACH DVM CHARTERED,5445 W FLAMINGO RD.,LAS VEGAS,NV,89103,,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
1677,ORGANIZATION,PPP_LOANS,11238,"e $150,000-350,000",BAUGHMAN AND TURNER INC,1210 HINSON ST,LAS VEGAS,NV,89102,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,18.0,05/03/2020,"Bank of America, National Association",NV-01
102,ORGANIZATION,PPP_LOANS,7260,b $2-5 million,"COLVIN CONSTRUCTION, INC",5865 VALLEY VIEW BLVD,LAS VEGAS,NV,89118,238110.0,Corporation,Unanswered,Unanswered,Unanswered,,150.0,04/10/2020,Western Alliance Bank,NV-03
3179,ORGANIZATION,PPP_LOANS,15909,"e $150,000-350,000",SUKAR AND SONS OF NEVADA,2657 N. LAS VEGAS BLVD,NORTH LAS VEGAS,NV,89030,517911.0,Corporation,Unanswered,Unanswered,Unanswered,,41.0,04/15/2020,SouthPoint Bank,NV-01
240,ORGANIZATION,PPP_LOANS,7652,c $1-2 million,COLE KEPRO INTERNATIONAL LLC,4170-103 Distribution Circle,NORTH LAS VEGAS,NV,89030,337212.0,Cooperative,Unanswered,Unanswered,Unanswered,,114.0,05/03/2020,Fifth Third Bank,NV-01
2256,ORGANIZATION,PPP_LOANS,12338,"e $150,000-350,000",HIGH DESERT PETROLEUM INC.,1105 Sharp Circle,NORTH LAS VEGAS,NV,89030,237120.0,Subchapter S Corporation,White,Male Owned,Non-Veteran,,24.0,04/16/2020,Bank of the West,NV-01
2653,ORGANIZATION,PPP_LOANS,13115,"e $150,000-350,000",MTSRBLLC,7315 W WARM SPRINGS RD,LAS VEGAS,NV,89113,722511.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,48.0,04/10/2020,Meadows Bank,NV-03
2470,ORGANIZATION,PPP_LOANS,12817,"e $150,000-350,000","LAS VEGAS ROCK, INC.",2 PRISON RD,JEAN,NV,89019,327991.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20.0,05/07/2020,First Foundation Bank,NV-03
2843,ORGANIZATION,PPP_LOANS,15227,"e $150,000-350,000","PKWY MARKS, LLC",7120 RAFAEL RIDGE WAY,LAS VEGAS,NV,89119,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36.0,04/10/2020,City National Bank,NV-01
2283,ORGANIZATION,PPP_LOANS,12389,"e $150,000-350,000",HYDRA DIGITAL RETAIL AGGREGATING CORP,"6625 Arroyo Springs St., #160","Las Vegas,",NV,89113,453998.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,16.0,04/14/2020,"Readycap Lending, LLC",NV-03
2309,ORGANIZATION,PPP_LOANS,12440,"e $150,000-350,000",INNOVATION ERP LLC,9680 W Tropicana Ste 114,LAS VEGAS,NV,89147,541690.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/09/2020,"JPMorgan Chase Bank, National Association",NV-03
2815,ORGANIZATION,PPP_LOANS,15190,"e $150,000-350,000","PEBBLE STONE COATINGS, INC.",3210 W Desert Inn Road,LAS VEGAS,NV,89102,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/28/2020,First Savings Bank,NV-01
217,ORGANIZATION,PPP_LOANS,7593,c $1-2 million,BLACK IRON REINFORCING LLC,4460 RIVIERA RIDGE AVE,LAS VEGAS,NV,89115,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,129.0,04/14/2020,Bank of the West,NV-01
862,ORGANIZATION,PPP_LOANS,8914,"d $350,000-1 million","HIGUCHI DEVELOPER, INC",5151 PROCYON ST STE 108,LAS VEGAS,NV,89118,453220.0,Corporation,Unanswered,Unanswered,Unanswered,,58.0,04/08/2020,Town & Country Bank,NV-03
